FLAG_GENDER_MALE,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,OCCUPATION_TYPE,College_Education,Currently_Married,Marriage_Status,Paying_Housing,White_Collar,AGE_YR,YRS_WORKED,target_paid_1
0,1,0,0,130500.0,Accountants,0,1,Married,1,1,29.0,3.0,0
0,1,0,0,130500.0,Accountants,0,1,Married,1,1,29.0,3.0,0
0,0,1,0,157500.0,Laborers,0,1,Married,1,0,27.0,4.0,0
0,0,1,0,157500.0,Laborers,0,1,Married,1,0,27.0,4.0,0
0,0,1,0,157500.0,Laborers,0,1,Married,1,0,27.0,4.0,0
1,1,1,0,360000.0,Security staff,0,1,Married,1,0,45.0,14.0,0
0,0,1,2,126000.0,Managers,1,1,Married,1,1,34.0,4.0,0
0,0,1,0,297000.0,Laborers,0,0,Single,1,0,42.0,8.0,0
0,0,1,0,297000.0,Laborers,0,0,Single,1,0,42.0,8.0,0
0,0,1,0,297000.0,Laborers,0,0,Single,1,0,42.0,8.0,0
0,0,1,0,297000.0,Laborers,0,0,Single,1,0,42.0,8.0,0
0,0,1,0,297000.0,Laborers,0,0,Single,1,0,42.0,8.0,0
0,0,1,0,297000.0,Laborers,0,0,Single,1,0,42.0,8.0,0
0,0,1,0,297000.0,Laborers,0,0,Single,1,0,42.0,8.0,0
0,0,1,0,297000.0,Laborers,0,0,Single,1,0,42.0,8.0,0
0,0,1,0,297000.0,Laborers,0,0,Single,1,0,42.0,8.0,0
0,0,1,0,297000.0,Laborers,0,0,Single,1,0,42.0,8.0,0
0,0,1,0,297000.0,Laborers,0,0,Single,1,0,42.0,8.0,0
0,0,1,0,297000.0,Laborers,0,0,Single,1,0,42.0,8.0,0
0,0,0,0,157500.0,High skill tech staff,1,1,Married,1,1,37.0,13.0,0
0,0,0,0,157500.0,High skill tech staff,1,1,Married,1,1,37.0,13.0,0
0,0,0,0,157500.0,High skill tech staff,1,1,Married,1,1,37.0,13.0,0
0,0,0,0,157500.0,High skill tech staff,1,1,Married,1,1,37.0,13.0,0
0,1,1,0,225000.0,Laborers,0,1,Married,1,0,39.0,7.0,0
0,0,1,0,148500.0,Core staff,1,1,Married,1,1,48.0,2.0,0
0,0,1,0,148500.0,Core staff,1,1,Married,1,1,48.0,2.0,0
0,0,1,2,202500.0,Core staff,1,1,Married,1,1,30.0,6.0,0
0,0,1,0,112500.0,Laborers,1,1,Married,1,0,27.0,8.0,0
1,1,1,1,765000.0,Managers,1,1,Married,1,1,33.0,3.0,0
0,0,1,0,112500.0,High skill tech staff,1,1,Married,1,1,24.0,0.0,0
1,1,0,0,315000.0,Managers,1,1,Married,1,1,43.0,10.0,0
1,1,0,0,315000.0,Managers,1,1,Married,1,1,43.0,10.0,0
0,0,0,0,180000.0,Sales staff,0,1,Married,1,1,53.0,7.0,0
1,1,0,0,229500.0,Laborers,0,1,Married,1,0,50.0,3.0,0
1,1,0,0,229500.0,Laborers,0,1,Married,1,0,50.0,3.0,0
1,1,0,0,229500.0,Laborers,0,1,Married,1,0,50.0,3.0,0
1,1,0,0,229500.0,Laborers,0,1,Married,1,0,50.0,3.0,0
0,0,0,0,270000.0,Managers,1,1,Married,1,1,48.0,15.0,0
0,0,0,0,270000.0,Managers,1,1,Married,1,1,48.0,15.0,0
0,0,0,0,292500.0,Accountants,0,1,Married,1,1,57.0,23.0,0
0,0,0,0,270000.0,Accountants,1,1,Married,1,1,33.0,2.0,0
0,0,0,0,202500.0,Core staff,1,1,Married,0,1,39.0,3.0,0
0,0,0,0,202500.0,Core staff,1,1,Married,0,1,39.0,3.0,0
0,0,0,0,193500.0,Laborers,0,0,Single,0,0,44.0,5.0,0
1,0,0,0,67500.0,Security staff,0,1,Married,1,0,51.0,14.0,0
1,0,0,0,180000.0,Drivers,0,1,Married,1,0,57.0,0.0,0
0,1,0,0,900000.0,Managers,1,0,Single,1,1,52.0,20.0,0
0,1,0,0,900000.0,Managers,1,0,Single,1,1,52.0,20.0,0
1,1,0,0,180000.0,Drivers,1,1,Married,1,0,40.0,1.0,0
1,0,0,0,279000.0,Core staff,1,0,Single,1,1,30.0,8.0,0
1,0,0,0,279000.0,Core staff,1,0,Single,1,1,30.0,8.0,0
1,0,0,0,279000.0,Core staff,1,0,Single,1,1,30.0,8.0,0
0,0,0,0,90000.0,Core staff,0,0,Single,1,1,52.0,1.0,0
0,0,0,0,90000.0,Core staff,0,0,Single,1,1,52.0,1.0,0
1,0,0,0,108000.0,Cooking staff,0,0,Single,1,0,22.0,3.0,0
0,0,0,0,202500.0,Core staff,1,1,Married,1,1,44.0,13.0,0
0,0,0,0,157500.0,Core staff,0,1,Married,1,1,46.0,7.0,0
1,1,0,1,112500.0,Laborers,0,0,Previously Married,1,0,32.0,3.0,1
0,1,0,0,202500.0,Sales staff,0,1,Married,1,1,42.0,4.0,0
0,0,0,0,198000.0,Laborers,0,1,Married,1,0,51.0,26.0,0
0,0,0,0,198000.0,Laborers,0,1,Married,1,0,51.0,26.0,0
0,0,0,0,90000.0,Sales staff,0,0,Previously Married,1,1,32.0,1.0,0
0,0,0,0,90000.0,Sales staff,0,0,Previously Married,1,1,32.0,1.0,0
0,0,0,0,238500.0,Laborers,0,1,Married,1,0,52.0,9.0,1
1,1,0,0,1350000.0,Managers,1,1,Married,0,1,35.0,4.0,0
1,1,0,0,1350000.0,Managers,1,1,Married,0,1,35.0,4.0,0
1,1,0,0,1350000.0,Managers,1,1,Married,0,1,35.0,4.0,0
1,1,0,0,1350000.0,Managers,1,1,Married,0,1,35.0,4.0,0
1,1,0,0,1350000.0,Managers,1,1,Married,0,1,35.0,4.0,0
0,1,0,0,99000.0,Cooking staff,0,1,Married,1,0,40.0,14.0,0
0,0,0,0,81000.0,Sales staff,0,0,Previously Married,1,1,49.0,4.0,0
1,1,0,0,360000.0,Drivers,0,0,Previously Married,0,0,28.0,1.0,0
1,1,0,2,427500.0,Managers,1,1,Married,1,1,41.0,17.0,0
1,1,0,2,427500.0,Managers,1,1,Married,1,1,41.0,17.0,0
0,1,1,2,90000.0,Core staff,1,1,Married,1,1,30.0,1.0,0
1,1,0,0,202500.0,Drivers,0,1,Married,1,0,52.0,10.0,0
1,1,0,0,202500.0,Drivers,0,1,Married,1,0,52.0,10.0,0
0,0,1,2,99000.0,Accountants,1,1,Married,1,1,34.0,1.0,0
0,0,1,2,99000.0,Accountants,1,1,Married,1,1,34.0,1.0,0
0,0,1,2,99000.0,Accountants,1,1,Married,1,1,34.0,1.0,0
0,0,1,2,157500.0,Sales staff,0,1,Married,1,1,29.0,6.0,1
0,0,1,2,157500.0,Sales staff,0,1,Married,1,1,29.0,6.0,0
0,1,1,0,180000.0,Medicine staff,0,1,Married,1,1,56.0,10.0,0
0,1,1,0,180000.0,Medicine staff,0,1,Married,1,1,56.0,10.0,0
0,1,1,0,180000.0,Medicine staff,0,1,Married,1,1,56.0,10.0,0
0,0,1,2,157500.0,Core staff,0,1,Married,1,1,33.0,5.0,0
0,0,1,2,157500.0,Core staff,0,1,Married,1,1,33.0,5.0,0
0,0,1,2,157500.0,Core staff,0,1,Married,1,1,33.0,5.0,0
0,0,1,0,135000.0,Laborers,0,1,Married,1,0,56.0,6.0,0
0,0,1,0,135000.0,Laborers,0,1,Married,1,0,56.0,6.0,0
0,0,1,0,67500.0,Core staff,0,1,Married,1,1,59.0,23.0,0
0,0,0,0,225000.0,Laborers,0,1,Married,1,0,28.0,4.0,0
0,0,1,0,135000.0,Medicine staff,0,1,Married,1,1,50.0,5.0,0
0,0,1,0,135000.0,Medicine staff,0,1,Married,1,1,50.0,5.0,0
0,0,1,0,76500.0,Sales staff,0,1,Married,1,1,42.0,13.0,0
1,1,1,0,135000.0,Laborers,0,1,Married,0,0,27.0,5.0,0
0,1,1,1,90000.0,Medicine staff,0,1,Married,1,1,48.0,22.0,0
1,1,1,0,315000.0,Secretaries,0,1,Married,1,1,59.0,5.0,0
1,1,1,0,225000.0,Drivers,0,1,Married,1,0,45.0,11.0,0
0,0,1,0,135000.0,Sales staff,0,1,Married,1,1,40.0,5.0,0
0,0,1,0,135000.0,Sales staff,0,1,Married,1,1,40.0,5.0,0
1,1,0,0,90000.0,Drivers,0,0,Single,1,0,33.0,5.0,0
0,1,1,1,157500.0,Medicine staff,1,0,Previously Married,1,1,26.0,5.0,0
0,1,1,0,540000.0,Managers,1,1,Married,1,1,37.0,6.0,0
0,0,1,0,67500.0,Medicine staff,0,1,Married,1,1,42.0,0.0,0
0,0,1,0,67500.0,Medicine staff,0,1,Married,1,1,42.0,0.0,0
0,1,1,1,157500.0,Sales staff,0,1,Married,1,1,34.0,1.0,0
1,1,1,0,675000.0,High skill tech staff,1,1,Married,1,1,32.0,6.0,0
